Timestamp,Age group,Musical profficiency,Bach Ground Truth,Bach MaskGAN,Bach Neural Editor,Beethoven Ground Truth,Beethoven MaskGAN,Beethoven Neural Editor,Brahms Ground Truth,Brahms MaskGAN,Brahms Neural Editor,Handel Ground Truth,Handel MaskGAN,Handel Neural Editor,Haydn Ground Truth,Haydn MaskGAN,Hayden NE,Mozart GT,Mozart MaskGAN,Mozart NE,Schubert GT,Schubert MaskGAN,Schubert NE,Vivavldi GT,Vivaldi MaskGAN,Vivaldi NE
5/18/2018 12:44:25,35-44,Seldom listen to music,3,2,3,3,2,1,4,2,2,4,3,4,4,1,3,2,2,2,2,1,2,3,3,3
5/18/2018 12:45:12,45-54,Music Lover or musician,5,5,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5,4,4,4,5,5,5
5/18/2018 12:48:18,45-54,Seldom listen to music,4,4,5,3,4,5,3,3,5,4,3,5,3,3,5,4,3,4,4,3,4,4,4,5
5/18/2018 12:54:07,18-24,Music Lover or musician,4,5,4,5,4,4,5,4,3,5,4,5,4,4,4,4,3,4,5,5,3,4,4,4
5/18/2018 12:57:10,18-24,Music Lover or musician,5,2,3,5,2,4,3,3,3,5,3,3,5,3,5,5,3,4,2,3,1,4,4,3
5/18/2018 12:58:41,18-24,Music Lover or musician,4,4,3,4,3,3,3,3,2,3,2,2,4,3,3,3,2,2,2,2,2,3,2,2
5/18/2018 13:10:22,18-24,Seldom listen to music,5,3,4,4,2,3,3,4,4,4,3,4,5,3,4,4,4,5,4,4,4,5,4,5
5/18/2018 13:20:47,18-24,Music Lover or musician,4,3,3,4,2,2,2,1,1,2,1,2,4,3,4,4,2,3,3,1,2,4,3,3
5/18/2018 13:41:07,18-24,Seldom listen to music,4,4,5,4,5,5,4,4,2,4,3,4,4,4,4,4,4,4,3,4,4,4,4,5
5/18/2018 13:43:09,18-24,Seldom listen to music,3,2,3,4,2,3,2,2,3,4,4,4,4,2,3,3,2,3,1,2,2,3,3,3
5/18/2018 13:46:17,18-24,Music Lover or musician,5,2,3,3,2,4,4,3,4,5,3,4,5,2,4,5,3,4,4,3,2,4,3,4
5/18/2018 13:46:19,18-24,Music Lover or musician,3,1,2,2,3,4,3,1,1,2,2,5,4,1,2,2,3,3,3,2,2,4,1,3
5/18/2018 14:00:23,18-24,Music Lover or musician,4,3,4,3,2,4,4,3,4,4,3,4,4,3,4,4,3,3,3,4,2,5,4,4
5/18/2018 14:00:58,18-24,Music Lover or musician,5,3,5,5,4,3,4,4,5,3,2,3,5,3,4,3,3,4,3,2,3,5,4,4
5/18/2018 14:16:20,25-34,Music Lover or musician,5,3,4,3,3,4,2,3,4,4,2,2,4,2,3,5,3,3,2,2,4,4,3,3
5/18/2018 14:22:03,25-34,Seldom listen to music,4,4,4,4,4,4,5,4,5,5,4,5,5,5,4,5,5,4,5,5,5,5,4,5
5/18/2018 14:36:09,25-34,Music Lover or musician,5,4,5,4,4,4,3,2,3,4,2,4,5,2,4,3,3,3,3,2,3,5,5,5
5/18/2018 14:43:31,18-24,Seldom listen to music,5,5,5,5,4,4,4,4,4,5,4,4,5,3,5,5,4,4,5,3,3,5,5,4
5/18/2018 15:49:42,25-34,Music Lover or musician,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,3,3,4,4,4
5/18/2018 16:03:17,25-34,Music Lover or musician,4,3,3,3,2,2,2,2,2,4,2,3,3,2,2,3,2,3,2,2,1,2,2,2
5/18/2018 16:20:53,25-34,Music Lover or musician,5,3,4,4,3,4,4,2,5,3,3,4,5,2,4,4,2,4,3,2,2,5,3,4
5/18/2018 16:29:48,18-24,Seldom listen to music,5,4,3,4,3,4,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,4,5
5/18/2018 16:49:16,45-54,Music Lover or musician,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5
5/18/2018 16:49:32,18-24,Music Lover or musician,2,3,3,4,2,1,4,2,3,3,2,3,4,1,3,3,2,2,3,2,3,5,2,4
5/18/2018 16:50:45,25-34,Music Lover or musician,5,5,5,5,5,5,3,3,3,5,4,5,5,3,4,4,3,3,2,2,2,3,3,3
5/18/2018 16:51:58,18-24,Music Lover or musician,5,4,3,2,2,2,1,1,1,2,2,2,3,2,2,2,2,2,1,3,2,5,5,5
5/18/2018 16:52:17,25-34,Music Lover or musician,4,2,3,2,3,1,3,3,4,4,3,4,5,3,5,4,3,4,5,4,2,5,4,4
5/18/2018 16:53:16,25-34,Music Lover or musician,5,4,4,4,3,3,3,2,2,4,3,2,5,2,4,5,4,3,2,2,2,4,3,3
5/18/2018 16:54:42,25-34,Music Lover or musician,4,2,3,4,2,4,3,2,4,3,2,3,5,2,4,3,2,3,3,2,2,3,4,2
5/18/2018 16:59:02,25-34,Music Lover or musician,5,4,3,5,3,4,3,4,5,5,3,4,5,3,5,5,3,4,2,4,3,5,3,4
5/18/2018 17:05:06,25-34,Music Lover or musician,4,3,2,4,5,4,3,3,4,3,3,3,4,2,2,3,3,3,4,3,2,3,4,3
5/18/2018 17:54:06,18-24,Student in Music Composition,3,5,5,2,4,4,2,5,4,5,4,5,4,1,5,2,4,1,5,1,4,2,4,5
5/18/2018 18:05:03,25-34,Music Lover or musician,5,4,4,3,3,3,3,2,3,4,4,4,5,3,4,4,3,4,4,2,3,4,3,4
5/18/2018 18:05:22,18-24,Seldom listen to music,3,3,2,3,2,2,4,2,3,5,2,3,5,2,3,5,2,3,4,2,2,5,2,3
5/18/2018 18:15:30,25-34,Seldom listen to music,4,4,4,2,2,2,2,2,4,2,3,3,4,4,3,3,3,3,3,3,3,3,3,3
5/18/2018 18:17:08,18-24,Music Lover or musician,5,2,4,3,2,3,2,3,3,4,2,5,5,2,4,5,4,5,1,3,3,5,3,4
5/18/2018 18:46:37,35-44,Music Lover or musician,4,3,4,2,3,3,3,2,4,4,2,2,5,2,4,4,2,4,4,2,3,5,4,3
5/18/2018 19:35:18,18-24,Seldom listen to music,2,3,4,4,3,3,4,3,2,3,2,1,2,2,2,5,5,5,5,5,5,5,5,5
5/18/2018 20:36:19,25-34,Music Lover or musician,3,2,3,2,2,3,3,2,3,3,2,3,4,2,3,3,2,2,1,2,1,3,3,3
5/18/2018 20:36:32,35-44,Professional Musician,5,5,4,5,4,4,5,5,5,4,4,4,5,5,5,4,3,4,4,4,3,5,4,5
5/18/2018 20:51:39,25-34,Music Lover or musician,4,1,3,3,1,3,4,3,4,2,2,3,5,1,4,5,4,5,5,2,4,5,4,5
5/18/2018 22:16:49,25-34,Seldom listen to music,5,4,5,2,3,4,5,4,5,2,2,1,5,4,5,3,4,2,1,1,1,4,4,4
5/18/2018 22:28:17,18-24,Music Lover or musician,5,3,2,3,2,4,3,4,2,4,3,2,5,1,2,2,4,1,3,3,1,4,1,1
5/18/2018 23:23:35,25-34,Music Lover or musician,5,3,3,3,2,3,4,4,3,2,3,3,4,2,4,2,2,3,5,3,4,5,5,5
5/18/2018 23:56:24,25-34,Music Lover or musician,3,3,2,2,2,3,4,2,3,3,2,2,3,1,3,3,1,3,1,1,1,2,2,3
